Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2019-07-01,110.0,87.0,98.5,3.7,0,34,0.00,0.0,0
2019-07-02,108.0,84.0,96.0,1.0,0,31,0.00,0.0,0
2019-07-03,108.0,82.0,95.0,-0.1,0,30,0.00,0.0,0
2019-07-04,107.0,78.0,92.5,-2.7,0,28,0.00,0.0,0
2019-07-05,105.0,79.0,92.0,-3.3,0,27,0.00,0.0,0
2019-07-06,106.0,81.0,93.5,-1.9,0,29,0.00,0.0,0
2019-07-07,109.0,86.0,97.5,2.0,0,33,0.00,0.0,0
2019-07-08,105.0,76.0,90.5,-5.0,0,26,0.00,0.0,0
2019-07-09,105.0,76.0,90.5,-5.1,0,26,0.00,0.0,0
2019-07-10,111.0,84.0,97.5,1.8,0,33,0.00,0.0,0
2019-07-11,114.0,90.0,102.0,6.3,0,37,0.00,0.0,0
2019-07-12,112.0,91.0,101.5,5.8,0,37,0.00,0.0,0
2019-07-13,110.0,92.0,101.0,5.2,0,36,0.00,0.0,0
2019-07-14,109.0,92.0,100.5,4.7,0,36,0.00,0.0,0
2019-07-15,114.0,89.0,101.5,5.7,0,37,0.00,0.0,0
2019-07-16,115.0,89.0,102.0,6.2,0,37,0.00,0.0,0
2019-07-17,106.0,90.0,98.0,2.2,0,33,0.00,0.0,0
2019-07-18,107.0,86.0,96.5,0.7,0,32,0.00,0.0,0
2019-07-19,108.0,86.0,97.0,1.3,0,32,0.00,0.0,0
2019-07-20,108.0,84.0,96.0,0.3,0,31,0.00,0.0,0
2019-07-21,109.0,86.0,97.5,1.8,0,33,0.00,0.0,0
2019-07-22,104.0,81.0,92.5,-3.1,0,28,T,0.0,0
2019-07-23,107.0,83.0,95.0,-0.6,0,30,0.00,0.0,0
2019-07-24,102.0,80.0,91.0,-4.6,0,26,0.04,0.0,0
2019-07-25,108.0,88.0,98.0,2.5,0,33,0.00,0.0,0
2019-07-26,110.0,90.0,100.0,4.5,0,35,0.00,0.0,0
2019-07-27,113.0,93.0,103.0,7.6,0,38,0.00,0.0,0
2019-07-28,111.0,92.0,101.5,6.1,0,37,0.00,0.0,0
2019-07-29,110.0,92.0,101.0,5.7,0,36,0.00,0.0,0
2019-07-30,107.0,76.0,91.5,-3.7,0,27,0.13,0.0,0
2019-07-31,97.0,76.0,86.5,-8.7,0,22,T,0.0,0
Sum,3355.0,2639.0,-,-,0,990,0.17,0.0,-
Average,108.2,85.1,96.7,1.2,-,-,-,-,0.0
Normal,106.5,84.5,95.5,-,0,945,0.91,M,-
